well_id,n,tw_corr,anchor_rmse,A_rmse,As_rmse,B_rmse,frac_gr
14fee784,4910,0.8420503694204746,21.419815878785553,33.43399390031464,20.758394838544856,71.07369081831641,0.39959266802443993
153552f5,4695,0.9007494256857543,5.161441840641978,30.683983821058654,17.7816955452602,24.09999612194438,0.7921192758253461
1550491d,4563,0.8255143134993685,21.167156242041475,39.274917232006864,21.67679085468206,46.38154308663228,0.9627438088976551
155887bb,5585,0.8131336049424073,11.793313793912793,54.23360974259064,33.06445924407173,83.25269296468828,0.7287376902417189
1590af81,3799,0.8377673224037562,5.560887269871239,50.65298577204535,36.99125389112924,47.50621408764609,0.7917873124506449
15e154a1,6068,0.9517901635088492,23.22648490243106,37.741448712997645,22.200004114034318,40.79272634280037,0.5140079103493738
1619e2ca,4443,0.8416313394640833,7.812315673810556,41.869187929064495,13.234729547445234,33.26492172812431,0.6031960387125815
16e4a047,4131,0.7406424867846098,10.715407020528387,32.52229629621194,11.250115156891978,47.260455273724745,0.42725732268215927
173ed841,4883,0.42498016211508427,17.58051747694951,48.16669025810092,24.68615613601402,36.677383103667395,0.6104853573622773
1770d7c6,7240,0.661651589650424,12.332849608315879,59.253263867139616,42.664124551305584,31.771760366863354,0.9540055248618785
177622d7,3154,0.83777401564579,9.800349606500166,37.285199362095,13.045146504992204,42.92910165268355,0.4369055168040583
18d24f7b,4558,0.8278028391913851,7.530076271970659,47.98081905183145,31.388319999016826,32.097274190919386,0.8690215006581834
19137a89,6267,0.8420056741150147,18.119920942456794,56.47741855275065,44.265720937533835,53.390211492347866,0.9428753789692038
1944513c,4722,0.8280054975854734,5.738736995920461,53.7764020419919,24.167696953749676,17.721636483123948,0.9625158831003812
197f8a5a,6310,0.35635365163231997,24.61555435098563,37.77059832227721,25.037680972141697,25.141756126200505,0.47844690966719494
19871e7f,5293,0.8077718679770868,5.353880109906093,54.13620384291654,42.85953708629891,72.16691647739982,0.8564141318722841
198a5607,6251,0.9012580232633494,9.944851115115334,40.67268778070839,19.195758806752398,23.79934217414281,0.7309230523116301
