well_id,n,anchor_rmse,pf_rmse,best_cand
39b51819,4231,3.160351282946552,3.7247771148176545,2
3a0af893,2927,18.6897660134781,6.508811909982937,2
3a223519,4583,9.401162306681243,6.068035792053333,2
3a7dd95d,3072,13.010388611275376,3.6692822153906253,0
3a824aa7,4201,5.690131490731758,2.5539173514530016,2
3a86fe8d,5118,11.634711217695367,5.5073065824713945,2
3aaa2b30,4711,17.520232328990414,7.514307659885169,0
3ac16ad0,5649,8.880546118495223,6.884245627506388,0
3b21ea64,7376,8.368949948322665,8.025256990324328,1
3bbe1f5d,6918,10.572803005133604,1.239302996654573,2
3bfee975,3603,7.840543276658913,5.8918296294177575,2
3c3dbcbc,5069,8.29349171896155,4.741589633608708,2
3d96d897,5659,3.6092906343486293,2.9603038488412112,2
3df4b19e,4988,8.67249047497302,10.968291482117664,2
3e011332,2723,17.42146062278745,20.696243482842508,2
3e678ea7,6858,10.229911981746914,8.744083320752823,2
3ef6372a,4727,6.229379944022544,2.8856588740849403,1
3ef98781,3892,12.433878700657393,5.6093334579787735,2
3f603129,5051,29.712176284154232,2.774883335820453,0
404c4384,911,3.6011694039210935,1.5753043679708414,1
4121c517,3723,11.223238561279205,7.3068836646511635,0
41fb0192,2973,3.5577103110362645,7.3988149243849355,0
42669188,4282,23.030677799344762,3.080348180990637,2
42c538a1,3279,26.18883109705342,0.7862226774119643,0
43b06c70,4846,8.769342298126745,17.019465996684733,1
43c7f85a,5978,11.180370167514397,3.5178372313376647,0
43e16325,3720,45.776662453735184,3.5399610200526093,2
44441e54,4357,3.668929750345109,1.4146576533805613,2
445af6c2,6041,29.954468486977532,9.15762786098374,2
4463446c,3256,18.86029305975226,6.675881145320449,2
44a94013,4903,23.26260921867206,9.271232161061503,2
45fb3e21,3649,25.15963005414619,8.536131086620543,1
460f859e,3336,20.01206991533264,3.4090911279565823,0
4630ab92,3373,10.880550178687447,4.251151547885898,1
463c38f2,4460,6.316346789980795,6.543075283898636,2
4654e7de,5373,5.262206132576318,7.942833501636175,0
466fc788,6197,16.96677982284487,3.9842099690993233,2
46a301e9,8226,10.714122960128444,1.6348538782131863,2
46a7190b,4215,13.31037471543342,4.947612644718752,1
46d24a09,4449,21.034427197140683,4.00896576988985,0
46d41ff6,7901,7.152719312990992,6.325748990441062,1
46dfcfca,3606,23.306915931867923,5.140131676814271,0
47222616,4406,12.72802806095558,6.80174693571387,2
47ee27ab,6397,7.811133847911845,4.155975263902709,1
481de5fc,5952,13.661013098019078,3.6006922921460993,2
48c1f673,2917,18.480143096264484,16.904732906738793,0
4936af16,3991,5.12683088404085,4.618076055380311,2
493b5b31,4671,20.806259253075513,8.187794683048159,0
49dbc14c,3872,5.472416193779096,16.859138723137907,2
4a035ec2,2588,18.37817503927824,3.6347597619309986,2
4a335117,5015,25.01473417971471,4.92374831969004,0
4a8ecc0b,5809,11.211904800768597,4.1372093705354205,0
4b462989,3106,6.605024585467642,12.401350844579321,1
4b831d20,7312,16.40332593479727,9.307624827525618,0
4c2208f5,5384,37.38188510729996,36.636008921921004,0
4c3168cf,4334,4.398564145674671,4.9932191373422254,0
4c3df468,5392,20.730613836474724,5.482257723380352,1
4caa7289,5396,9.679853283039389,32.7687905475963,1
4cd1ac61,4489,14.744577751415134,8.714531281799236,0
4cecf7b3,6019,8.796914734080126,8.724128005160798,2
4ddde4c1,4472,4.584881244279585,5.339404197839338,1
4e050c92,3705,6.760683545123174,8.848563931913167,2
4ed93db6,4657,9.134304566059011,16.95305058944611,2
4f3eb9e9,4697,33.07892812639342,4.112335699827007,1
4f4ac5ce,5162,8.250612102027123,5.336042495539885,0
4f4afcc6,5645,8.324204115356522,8.281836983724894,0
4f69febf,5460,14.941245790403045,2.215769098195757,2
4fbe9c06,6287,12.700621635010842,3.5926740266292105,0
504c8b08,6367,20.6567768266876,4.337654399909114,1
511e1db0,3821,2.646655635093415,1.7745712482428588,2
512943b2,5029,4.032978673574936,2.3745012103558225,0
5138a660,3559,5.4780109058052355,4.274492709090656,0
516088b7,6645,6.371603205164532,7.402180176735644,2
521a7819,5200,25.361861575542044,7.523525961443703,1
5254b6db,3274,7.293881229520888,5.868153550226503,0
529e88ca,3417,15.265625031718603,26.4297940891531,0
52f1e77a,4442,14.174880875648114,28.571700837339314,2
5305524b,4898,16.63490369332069,13.093674222207333,0
53134831,5126,17.343954276390388,9.472652889367517,1
5397ceb1,5255,9.25091584943266,2.586747121363522,0
53f23031,8550,10.66798407051043,2.1543558610798343,0
543198e8,6503,20.51495618405221,26.766363132132124,0
54753541,4026,16.22277834812335,20.599131939957346,1
54a7e3c2,6155,11.037762426443331,10.61405889778437,2
5542c301,3591,5.501114137426537,7.19850433326793,0
5567d551,6889,10.289492216812466,9.865188728189038,0
55efee7f,4801,25.83515609352923,16.533290510644573,1
5663b2b7,4972,16.28409405856329,5.3067405823577305,0
