well_id,fold,n_rows,hidden_length,known_length,model_rmse,model_mae,model_bias,model_p95_abs_error,anchor_rmse,anchor_mae,anchor_bias,anchor_p95_abs_error,rmse_diff,final_delta_z_from_ps,mean_abs_dz_step,std_dz_step,mean_abs_dxdy_step,curvature_proxy,azimuth_range,vertical_shape,curvature_shape,trajectory_shape,anchor_dominant,lgbm_kills,anchor_blown
9426ec1e,4,2532,2532,1391,11.681669031775332,9.786094592691143,9.71306113596578,18.134610232502382,12.079413246018726,10.738858609794821,10.738858609794821,17.659999999999854,0.397744214243394,-81.21999999999935,0.0320821809561441,0.014865748571299455,0.9993906544380967,0.005224917616863812,0.150371427916566,flat,smooth,flat_smooth,True,False,False
a4719920,0,5884,5884,1611,6.800503775458539,6.073744095333789,-1.0743051259770344,11.84665821184562,7.205451003735877,6.296006118287062,-2.8980081577167214,11.84849999999878,0.4049472282773383,-198.72999999999956,0.03403195648478683,0.023132530257083957,0.9991780108302895,0.005589731437675892,0.18055182414474014,downward,curved,downward_curved,True,False,False
3ef6372a,1,4727,4727,1939,5.810954382671908,5.042193614333379,0.5337411225455881,10.982349897437597,6.229379944022544,5.183985614554733,-0.5635455891692552,10.896999999999569,0.41842556135063624,-122.69000000000051,0.027462970799830524,0.018997656673055748,0.9994984284721141,0.00532446402753893,0.34990942517982593,flat,smooth,flat_smooth,True,False,False
23b9beb0,2,7340,7340,1450,5.07113331203839,3.5949650363176078,-0.008842320628125603,13.352066632396053,5.499363741994015,3.8982602179837222,-2.8611975476840663,11.710499999999131,0.428230429955625,-234.42000000000007,0.032941817686333315,0.01838153962815319,0.9993384160955706,0.0058158135233500295,0.31407758651962736,downward,curved,downward_curved,True,False,False
39b51819,0,4231,4231,2151,2.716740994257855,2.3749112971722934,-1.294454414667478,5.205971809066796,3.160351282946552,2.88449066414528,-2.1916520917036535,5.260000000000218,0.443610288688697,162.63000000000102,0.03845153664302635,0.014265060046949678,0.9991756813046405,0.005315046202524252,0.20611513260047865,upward,smooth,upward_smooth,True,False,False
698930d1,1,4741,4741,1757,9.942545357353358,7.449669910959394,-4.16141824605924,22.01684742856014,10.389172214568049,6.112744146804818,-5.2585024256493975,25.480000000001382,0.44662685721469053,151.01000000000022,0.03389029535865005,0.018031914001428603,0.999348930637294,0.005771916742495268,0.194339023671821,upward,curved,upward_curved,True,False,False
992ce078,4,2879,2879,1782,4.568035906443839,3.794516595944437,1.0972158192677173,8.793244154022796,5.02484380821733,3.6784300104204783,3.52491142757931,9.960000000000946,0.45680790177349095,109.93999999999869,0.03824183460736605,0.02201778126044189,0.9990410005963464,0.005137880995545321,0.12513333946005156,flat,smooth,flat_smooth,True,False,False
4936af16,4,3991,3991,1568,4.669301722048754,3.9338298072614926,-0.48687649654311416,8.913349554656634,5.12683088404085,3.982357805061394,1.907870207967791,12.069999999999709,0.45752916199209626,-134.71999999999935,0.034927318295739494,0.02079443108788608,0.9992307409721936,0.004968543831203124,0.10066865225189225,downward,smooth,downward_smooth,True,False,False
6dbe4b60,2,4648,4648,2025,8.23956348525816,6.7487669851997545,-6.6352229226501995,14.254997349315907,8.699464045404161,6.7513016351118464,-5.580733648881166,14.896499999999556,0.4599005601460018,-161.17000000000007,0.034854744996772755,0.028999183078827442,0.998995827409818,0.005362551400511289,0.18086470412326916,downward,smooth,downward_smooth,True,False,False
4c3168cf,2,4334,4334,1625,3.9327749138273442,3.223838220034216,-2.2486174639438627,7.870169240614246,4.398564145674671,3.695394554684543,-3.2137148131066073,9.063500000001381,0.4657892318473267,124.80999999999949,0.029390722363259215,0.014116911732077925,0.9995020194566735,0.005172604176149101,0.30227249886134544,flat,smooth,flat_smooth,True,False,False
a4cdbb0f,2,5204,5204,1555,10.639311346370002,8.437079419475273,-0.4574792302068898,19.292294376004065,11.150021440885437,9.041502690238257,0.8414642582623622,20.159999999998035,0.510710094515435,188.39999999999964,0.03636748029982725,0.02283801894991238,0.9990997528118564,0.005371834811592203,0.3780425004764494,upward,smooth,upward_smooth,True,False,False
368fe682,0,4936,4936,1480,13.365299855023029,11.195534006989067,-10.468712737950586,22.109882275703058,13.878502686940966,11.851085899513274,-11.257228525120897,22.039999999999054,0.5132028319179369,150.89999999999964,0.03180547112461952,0.019788650148978106,0.9993525723595608,0.005107238111009095,0.2497857322342285,upward,smooth,upward_smooth,True,False,False
24d8997e,2,3442,3442,1746,5.121920347942073,3.8451641488928296,3.432729853050417,12.016973936151041,5.6395027824068205,4.981173736200259,-1.7399709471244833,10.668999999999956,0.5175824344647477,101.93000000000029,0.03004649811101407,0.020651330171871006,0.9993656340313727,0.005453800384256142,0.2142646441615006,flat,smooth,flat_smooth,True,False,False
9def2eb2,2,6003,6003,1747,6.711892160844424,5.550778276836997,0.4084917999795177,12.268276632383822,7.253592864593499,6.059152090621723,-2.7733349991678984,12.140000000001237,0.5417007037490755,-228.5500000000011,0.03822725758080618,0.020278530179215395,0.9990847139724568,0.005565883449679416,0.1887444368756266,downward,curved,downward_curved,True,False,False
404c4384,3,911,911,1701,3.049901886475194,2.7008494784090598,2.7008494784090598,4.8576980742464,3.6011694039210935,2.949198682765599,-2.949198682765599,7.599999999999454,0.5512675174458996,27.469999999999345,0.030175824175823217,0.009987457416173769,0.9995053144709083,0.004794546331525136,0.049659737100154366,flat,smooth,flat_smooth,True,False,False
73b1447d,1,5670,5670,1852,12.85343511743442,10.752370518188606,-3.791647372003627,24.977870908247496,13.404843871674935,11.202077601410803,-3.4787830687823984,24.8700000000008,0.5514087542405139,-212.5600000000013,0.039954136532015905,0.030581277642717536,0.9988442791600741,0.005231053620388301,0.17714158775802147,downward,smooth,downward_smooth,True,False,False
bc4381e2,0,4955,4955,1930,12.041111071859666,11.304194082273678,-11.303153728597582,18.459667074127356,12.598370947658928,11.86221392532809,-11.86221392532809,19.453000000000248,0.5572598757992626,130.40999999999985,0.03012111425111045,0.023915708172763384,0.9993839816332971,0.005455344428854451,0.47233281581531195,flat,smooth,flat_smooth,True,False,False
a3518960,1,4967,4967,2025,6.540574176255238,5.334309464366554,1.8526830815317683,12.006470056485155,7.100675858286987,6.006992148178344,4.810205355345926,12.360000000000582,0.5601016820317488,163.85000000000036,0.03305477245267814,0.00988264881789366,0.999423675437693,0.0052219776279557525,0.16126575157408496,upward,smooth,upward_smooth,True,False,False
