well_id,n,anchor_rmse,pf_rmse,best_cand
10b89021,5414,14.721334704881999,6.5273746093828455,0
10be2420,3271,13.259451874685324,4.103589399106553,0
113011eb,3272,5.177910618587731,28.87881580585442,0
1131525f,4159,14.670165574890584,2.2420776185095144,0
11d0f5ac,4883,22.169205194123972,22.623409229127347,0
12203f2a,3261,13.762320645487467,9.957811001455008,0
122bd617,4570,11.670160284769418,18.23663117496675,2
125be846,6510,18.441379950265283,16.377807276624548,1
1285a37b,5597,5.549117512133954,5.418974105705123,0
1295a25b,5551,9.716800903498608,7.357859353415743,1
12f0cd90,5947,7.895034499573364,6.35568032186805,0
137d1e44,4554,25.010172511867026,24.676028756898038,0
13ce113d,2966,3.381014512965784,12.931615129338407,0
13f598d9,7306,15.16858992587756,7.566744408699229,0
14a53cb3,6919,8.94761773897247,2.3671948619596788,0
14ab73fb,3649,14.81915286795364,2.1711679235019736,0
14ad5efb,5842,6.298504340917485,5.682447076433677,0
14fee784,4910,21.419815878785553,10.62362907135405,0
153552f5,4695,5.161441840641978,23.99402597268207,1
1550491d,4563,21.167156242041475,16.04712988202,2
155887bb,5585,11.793313793912793,3.2554542559979707,0
1590af81,3799,5.560887269871239,10.121787223720004,1
15e154a1,6068,23.22648490243106,8.238330637497814,0
1619e2ca,4443,7.812315673810556,4.115726067883643,0
16e4a047,4131,10.715407020528387,2.4018634322022234,0
173ed841,4883,17.58051747694951,25.52535728022063,1
1770d7c6,7240,12.332849608315879,11.707240261858862,0
177622d7,3154,9.800349606500166,5.123839376358947,0
18d24f7b,4558,7.530076271970659,3.3142198678830925,0
19137a89,6267,18.119920942456794,7.457336827896542,1
1944513c,4722,5.738736995920461,2.8200498767146063,1
197f8a5a,6310,24.61555435098563,9.942833261548847,0
19871e7f,5293,5.353880109906093,8.134727777646226,0
198a5607,6251,9.944851115115334,3.6328791415031554,1
19fb4f7b,5620,11.089880426882702,8.533672059961766,1
1a518997,4606,10.76070073803029,1.3164344895802902,0
1a68190b,4474,16.431826147748733,27.600337151213832,0
1a730ac2,4605,16.350400725581075,6.914685204150466,2
1aaf1da0,4804,9.288199403984146,5.734025819890096,0
1b08ed48,5618,11.838490879530399,3.2403973191296394,0
1b1c5372,4261,17.833374900392585,27.419590409919874,0
1b1eba53,4655,70.63937461968057,55.79302436429207,1
1b6ba517,6597,7.818279827064867,10.525235067617038,2
1b82b665,3806,6.106594455886377,21.01859489911661,0
1bcb2fcf,4524,6.2062031463179,5.8610532283538745,0
1beca81d,5036,8.154769966888065,21.591153925404644,1
1d3fbf02,2694,5.906372283901897,17.190939754162194,0
1d78281a,4949,11.881246003992382,6.464328502711922,0
1e30dedf,4071,12.137059232129838,7.027963593473792,1
1e5e3573,5480,11.921759172625736,5.445089885322202,0
1f9afacb,5328,2.518404175433652,3.845637565236279,0
1fdbba44,4911,5.835321753197851,33.86504835850277,0
1fee2b62,4641,8.271183690259376,9.654076982475582,0
20096916,5133,10.457150039432173,3.788770515248225,0
200d233d,3926,12.776233899276743,23.913078259694682,0
201661b5,5955,12.376074593108253,15.578649802672864,0
203721ab,5730,10.037088673521446,3.1096593847737535,0
20402d71,6372,11.661871660575386,7.455347243579208,2
2043abc5,6958,18.043675019417094,19.48488066175916,1
204cc64b,4805,6.09488008126444,4.433946893480768,0
206b6193,6535,36.50899923584182,29.65533840203343,2
2075c696,3188,21.898881254260402,3.96531865973845,0
22c5f93f,5172,7.091232323797548,1.9623598773507287,0
230eaaa3,4690,25.322864048616943,1.979856721861994,0
2364716c,4316,19.668009235301668,5.621004566560607,2
23b9beb0,7340,5.499363741994015,1.3837190684413283,0
24d8997e,3442,5.6395027824068205,1.5715925042727699,0
25050f63,6124,37.996607342363916,3.2801642174381627,2
25939962,4319,11.099661933822553,5.177190648931325,0
25fd32b3,2885,3.1781649872704114,1.0936552671877307,0
261785ee,3646,23.57894263400833,25.501942312333526,1
264feceb,5665,10.863394363873287,19.06252030927041,1
26623a50,5735,21.675376849132046,10.448842502484522,0
26d3a96a,4721,9.063491001698889,8.098071323485021,0
272abef3,4135,10.023016592838678,5.0408044119232445,0
27300fd5,5467,17.389589831741016,7.634914164740813,1
276b012a,4837,27.08665184488836,13.63389112593363,1
27c3155b,4958,18.11085336032788,6.895797057937181,0
27ebb9b9,5766,9.988233062217338,2.3866612401304255,0
283269ac,2626,1.1159494538507433,7.768333152077572,0
28473855,4290,4.546502439117813,3.429344932794496,2
28f4eda9,5266,12.159025419229918,2.624432766576104,0
29b24409,5587,13.756821410921399,2.0312309025220996,0
29de15c8,3431,4.5857601721794286,2.9865347988281234,0
2ab29395,1852,2.45945596628769,2.6980970717800026,0
2ac7cb6b,4990,19.596293256603055,9.012746161055944,2
2acc78d4,4266,13.626234402591441,2.4350353591225935,0
2b034622,5203,6.805621396093291,9.490699206948305,2
2b06ad65,4256,2.7463768040476424,3.778288284613695,0
2b547943,3480,12.241457142013665,2.7073877532041983,0
2be5c96a,4210,3.6618588662445717,7.745427023932277,0
2bff06cf,7624,28.427941006681795,9.848201730699804,0
2c0c4a4e,4790,8.04594018660484,3.3212074615106055,0
2cee0cba,5500,10.665140786694133,25.485507779324454,0
2d0c268a,4550,14.874791132341558,2.841697204983183,2
2d179ded,7008,7.749754286132607,3.932897321286774,0
2d196986,6474,11.991317360702503,7.847977617567538,2
2d2d0c6b,5045,3.045945300727323,3.9742303463245894,0
2d35f86d,4896,11.216196779664774,24.043875382926952,0
2d9f6cb9,7338,9.908706063856238,7.43071414265839,2
2ddad940,5331,7.645816438023014,9.509160250121079,0
2e29e833,5428,4.3076518266215045,5.451971150005264,1
2e43c2ea,5698,7.487396669090343,2.4889078259822055,0
2e63d9de,4699,13.77390817425645,14.464241660736537,0
2ee0235b,5556,6.80295371229703,9.997180303605543,1
2f19d536,3088,6.535598394413745,3.6443563729776196,0
2f8e53c3,2594,3.293055138227308,4.387594322585169,0
2fa01aa6,2174,18.77741961251621,6.649822779702439,1
2fd68f7b,4730,60.74015262396321,11.697669983551917,1
2fe023be,4221,12.90931147808348,5.437813338318182,0
30d75030,3404,17.599318669377997,3.7600392339598505,2
310c71a5,5245,8.843313479056066,8.724970038991657,1
32fe84c9,6408,22.250821979444407,3.3740643987197187,2
33c40295,4169,8.700789781165115,2.3306313684917197,0
3407f5bf,3638,21.29388267466182,23.05012142147997,1
3417285d,5449,34.42198868150785,45.673109150436446,2
347242c8,3595,2.242023016039388,6.045517859937179,0
353e5502,6062,5.639360585146688,11.942500705569639,1
357c12f9,4079,5.624420852755269,2.7935057068775646,0
3584a6eb,4494,9.108318362664079,3.175018353015554,0
35b30c7f,9579,19.15158789297762,5.448516761816259,1
35b3ef6a,3904,26.045383636758544,9.48183408397588,0
367456ce,5569,12.622377103894497,6.847984441844181,0
368131f9,4991,20.875783169531438,29.722623297549013,0
368fe682,4936,13.878502686940966,39.22264544600153,1
3690a146,4073,7.130156510792888,3.9688952206393244,0
37344c2a,5197,13.239300394199656,10.217440055784872,2
