well_id,n_rows,lgbm_rmse,anchor_rmse,anchor_wins_by,mean_pred_delta
18d24f7b,4558,6.331209891524736,7.530076271970659,1.1988663804459225,-0.6853094929223558
19137a89,6267,11.137983092392009,18.119920942456794,6.981937850064785,7.455354993221851
1944513c,4722,5.520143454745469,5.738736995920461,0.2185935411749922,-0.3838510252271438
197f8a5a,6310,27.91254841884033,24.61555435098563,-3.296994067854701,-5.032934930016362
19871e7f,5293,9.59610921251246,5.353880109906093,-4.242229102606366,6.279347110757602
198a5607,6251,6.525545343029903,9.944851115115334,3.4193057720854307,-4.3602243152043485
19fb4f7b,5620,8.532167704025099,11.089880426882702,2.5577127228576035,-7.482669248780544
1a518997,4606,11.443904553235905,10.76070073803029,-0.6832038152056157,-0.5500986166094334
1a68190b,4474,15.429445281091933,16.431826147748733,1.0023808666568002,-0.12196442584068687
1a730ac2,4605,8.725191702013579,16.350400725581075,7.625209023567496,7.084794716463242
1aaf1da0,4804,9.994952420400574,9.288199403984146,-0.7067530164164282,-0.17478049900774095
1b08ed48,5618,18.032199081049814,11.838490879530399,-6.193708201519415,6.137577825078123
1b1c5372,4261,22.104345593599167,17.833374900392585,-4.270970693206582,7.766059349115898
1b1eba53,4655,62.77994454255255,70.63937461968057,7.8594300771280174,7.7570888891166305
1b6ba517,6597,4.750043519675423,7.818279827064867,3.0682363073894434,-6.861522623024471
1b82b665,3806,6.790718816115422,6.106594455886377,-0.6841243602290454,2.941049149486495
1bcb2fcf,4524,4.666451418021017,6.2062031463179,1.5397517282968831,-5.157808951343347
1beca81d,5036,5.023258166407233,8.154769966888065,3.1315118004808316,-4.359672301888004
1d3fbf02,2694,5.05461245667093,5.906372283901897,0.8517598272309668,-1.9569683320199436
1d78281a,4949,7.263072237285008,11.881246003992382,4.618173766707375,4.384902770755396
1e30dedf,4071,12.577068312065345,12.137059232129838,-0.440009079935507,-1.1293443548589952
1e5e3573,5480,5.546000168280703,11.921759172625736,6.375759004345032,5.583563718673386
1f9afacb,5328,3.790887338549454,2.518404175433652,-1.272483163115802,4.676158960773239
1fdbba44,4911,9.366748399740603,5.835321753197851,-3.5314266465427515,-5.146650844648063
1fee2b62,4641,5.188447840647387,8.271183690259376,3.0827358496119883,2.491549213183548
20096916,5133,5.302376304225899,10.457150039432173,5.154773735206274,11.517476179109634
200d233d,3926,13.329389217327153,12.776233899276743,-0.5531553180504094,-0.8331767437592339
201661b5,5955,12.408097331261196,12.376074593108253,-0.032022738152942765,-3.120077674181606
203721ab,5730,9.035442488588897,10.037088673521446,1.0016461849325484,-13.767796878141773
20402d71,6372,12.07087677271309,11.661871660575386,-0.4090051121377041,0.3302680726161831
2043abc5,6958,8.916561579204204,18.043675019417094,9.12711344021289,11.612310142192337
204cc64b,4805,6.648888689740434,6.09488008126444,-0.5540086084759936,5.048053865090291
206b6193,6535,24.805639524346418,36.50899923584182,11.703359711495402,-12.102244972733386
2075c696,3188,9.360718710622388,21.898881254260402,12.538162543638014,14.028248367440414
22c5f93f,5172,10.247506619864705,7.091232323797548,-3.1562742960671573,6.144965294263529
230eaaa3,4690,19.605367244523652,25.322864048616943,5.71749680409329,4.505483359587569
2364716c,4316,6.953503886701197,19.668009235301668,12.71450534860047,12.183423272014979
23b9beb0,7340,4.284811839876917,5.499363741994015,1.2145519021170985,1.848741845369366
24d8997e,3442,6.682874993683509,5.6395027824068205,-1.0433722112766883,6.2148218374283815
25050f63,6124,13.574879375739897,37.996607342363916,24.42172796662402,25.56908283000237
25939962,4319,7.355198879088939,11.099661933822553,3.7444630547336137,4.098704946995493
25fd32b3,2885,4.634490812435679,3.1781649872704114,-1.4563258251652678,-1.2519506261588842
261785ee,3646,13.090351535405444,23.57894263400833,10.488591098602887,-10.547322201989914
264feceb,5665,7.127678493179915,10.863394363873287,3.7357158706933715,-4.684222885991089
26623a50,5735,11.70438332494011,21.675376849132046,9.970993524191936,-9.999031351648409
26d3a96a,4721,6.107750468410271,9.063491001698889,2.955740533288618,1.8964978248966997
272abef3,4135,16.187091325162164,10.023016592838678,-6.164074732323487,5.8095516833406124
27300fd5,5467,17.66569399481167,17.389589831741016,-0.2761041630706522,-0.4090421393183136
276b012a,4837,11.307217880496031,27.08665184488836,15.77943396439233,18.667551695842377
27c3155b,4958,47.07383249823612,18.11085336032788,-28.962979137908242,26.739109836908533
27ebb9b9,5766,6.374583689588513,9.988233062217338,3.6136493726288252,9.513848313407223
283269ac,2626,6.278221976338149,1.1159494538507433,-5.162272522487406,4.45724067084267
28473855,4290,3.2036174151049086,4.546502439117813,1.342885024012904,0.2958112839792411
28f4eda9,5266,7.646764101231996,12.159025419229918,4.512261317997922,5.694307762835815
29b24409,5587,8.845205694742607,13.756821410921399,4.911615716178792,5.7686431936287
29de15c8,3431,7.367815433717028,4.5857601721794286,-2.7820552615375993,2.9165225775342343
2ab29395,1852,2.521257765363758,2.45945596628769,-0.061801799076067976,-3.3024305092285706
2ac7cb6b,4990,19.014000753080563,19.596293256603055,0.582292503522492,-0.7440287217741501
2acc78d4,4266,10.095541435009405,13.626234402591441,3.530692967582036,6.82373879085179
2b034622,5203,7.052824341517967,6.805621396093291,-0.24720294542467602,-1.0498022763976964
2b06ad65,4256,3.1606600009433934,2.7463768040476424,-0.414283196895751,4.474369410016839
2b547943,3480,15.77315302620269,12.241457142013665,-3.531695884189025,-3.889713532735665
2be5c96a,4210,13.851979449316474,3.6618588662445717,-10.190120583071902,12.697312063658844
2bff06cf,7624,22.020413613880855,28.427941006681795,6.40752739280094,8.396640918486177
2c0c4a4e,4790,5.972344895819617,8.04594018660484,2.0735952907852226,10.658587011474001
2cee0cba,5500,5.889981603781235,10.665140786694133,4.775159182912898,-6.216915458441346
2d0c268a,4550,5.41557405094784,14.874791132341558,9.459217081393717,-9.481213287347982
2d179ded,7008,8.136476338211557,7.749754286132607,-0.38672205207894983,5.004897479833222
2d196986,6474,13.361843082436994,11.991317360702503,-1.3705257217344915,2.106459729930721
2d2d0c6b,5045,4.895670054997088,3.045945300727323,-1.8497247542697646,1.8249271668545044
2d35f86d,4896,16.763797207368043,11.216196779664774,-5.547600427703269,-11.724200887129731
2d9f6cb9,7338,7.001015916275229,9.908706063856238,2.9076901475810093,3.9407909956972005
2ddad940,5331,16.31175728948346,7.645816438023014,-8.665940851460444,10.680663094654848
2e29e833,5428,8.448339538060676,4.3076518266215045,-4.140687711439171,-6.6641219567843235
2e43c2ea,5698,7.301318371343225,7.487396669090343,0.18607829774711782,-1.9659686941369818
2e63d9de,4699,21.62168491458914,13.77390817425645,-7.847776740332689,11.952955750480653
2ee0235b,5556,4.202048974318043,6.80295371229703,2.600904737978987,-2.593642247666532
2f19d536,3088,6.3482303037596015,6.535598394413745,0.18736809065414306,-0.1799229056746024
2f8e53c3,2594,9.81126614296258,3.293055138227308,-6.518211004735273,-11.325822494878173
2fa01aa6,2174,16.894224085651157,18.77741961251621,1.8831955268650518,-0.5547456078615521
2fd68f7b,4730,45.38858922617354,60.74015262396321,15.351563397789668,14.150108514615324
2fe023be,4221,10.371893172037057,12.90931147808348,2.5374183060464226,1.1680178001496475
30d75030,3404,11.160702884800026,17.599318669377997,6.438615784577971,-3.800749777170861
310c71a5,5245,6.244483632856399,8.843313479056066,2.598829846199667,1.9925099570257732
32fe84c9,6408,17.454784527856983,22.250821979444407,4.796037451587424,-4.545888761003753
33c40295,4169,11.974128527396665,8.700789781165115,-3.27333874623155,-5.889999725782719
3407f5bf,3638,15.122086758852657,21.29388267466182,6.171795915809163,-10.11192894754216
3417285d,5449,22.97245590577503,34.42198868150785,11.44953277573282,11.93590834972227
347242c8,3595,1.8199241942999744,2.242023016039388,0.4220988217394137,0.38895413384491007
353e5502,6062,4.452261599805166,5.639360585146688,1.1870989853415228,2.5557760510499405
357c12f9,4079,5.436534507417348,5.624420852755269,0.1878863453379207,-1.1565322058148948
3584a6eb,4494,14.814221652634835,9.108318362664079,-5.705903289970756,5.482289005440773
35b30c7f,9579,15.708895817076368,19.15158789297762,3.4426920759012525,-4.53624145407856
35b3ef6a,3904,11.18384689616279,26.045383636758544,14.861536740595755,-13.750069377223438
367456ce,5569,5.378980945274663,12.622377103894497,7.243396158619833,10.884595370984082
368131f9,4991,16.48358892113959,20.875783169531438,4.392194248391849,6.970017748422228
368fe682,4936,15.240181860670118,13.878502686940966,-1.3616791737291525,-2.2506695019064975
3690a146,4073,5.600992433513095,7.130156510792888,1.529164077279793,-1.076316211925037
37344c2a,5197,13.868836089612994,13.239300394199656,-0.6295356954133382,-0.6849906806924778
373ef48b,3509,2.156857695796219,5.207191387759596,3.050333691963377,4.455992243578343
374be387,9965,7.56216542443936,6.712762639770746,-0.8494027846686141,2.7387709786176364
37d36812,4367,14.667984213982773,21.856313079076383,7.1883288650936095,7.191088890617033
38991fd4,4798,5.445329974376672,14.86604108751415,9.420711113137479,-10.851286177835593
389ae58f,6463,45.5772471069319,49.76304894845995,4.185801841528047,4.458641020395778
3932faa6,5452,13.880235866306394,13.157974615537267,-0.7222612507691277,5.235458783208729
