well_id,n_rows,n_wells,model_rmse,model_mae,model_bias,model_p95_abs_error,anchor_rmse,anchor_mae,anchor_bias,anchor_p95_abs_error,rmse_improvement_vs_anchor,mae_improvement_vs_anchor,fold,hidden_length,known_length,final_delta_z_from_ps,trajectory_shape,vertical_shape,curvature_shape
460f859e,3336,1,15.84887952264742,14.559156040538877,-3.7181936415359975,24.09680862833875,20.01206991533264,17.57702338129476,-0.3230905275772664,30.082499999999527,4.163190392685218,3.0178673407558847,3,3336,1646,-35.969999999999345,flat_curved,flat,curved
4630ab92,3373,1,14.688979414331914,13.027947426231623,13.027947426231623,26.785117114092643,10.880550178687447,8.369955529202837,8.231473465757936,22.793999999999865,-3.808429235644468,-4.657991897028786,4,3373,1934,101.84000000000015,flat_smooth,flat,smooth
463c38f2,4460,1,6.1222216894409165,5.237875718233725,0.4770822702512126,10.401537276269664,6.316346789980795,5.538295964125809,-0.22250672645835368,10.219999999999345,0.1941251005398783,0.3004202458920844,4,4460,1588,189.89000000000124,upward_smooth,upward,smooth
4654e7de,5373,1,5.512732973754808,4.306910764151431,0.7362739797838166,11.562946649757214,5.262206132576318,4.3588888888889175,-1.5263744649172413,9.797999999999222,-0.2505268411784902,0.0519781247374862,0,5373,1637,-173.39000000000124,downward_smooth,downward,smooth
466fc788,6197,1,10.496082475041982,9.459296567881104,-1.6944351873845838,16.019180376684744,16.96677982284487,14.180109730515158,-12.908052283363435,28.460000000000946,6.470697347802888,4.7208131626340535,2,6197,1570,148.0,upward_curved,upward,curved
46a301e9,8226,1,13.3403281949753,12.278064854297545,12.278064854297545,19.11931586702849,10.714122960128444,9.702207634329492,9.668798930220529,16.049999999999272,-2.6262052348468554,-2.5758572199680536,1,8226,1736,-250.32999999999993,downward_smooth,downward,smooth
46a7190b,4215,1,5.983735075194671,5.15600895883263,0.6174007289656595,10.35251070555405,13.31037471543342,10.620455516014502,-10.548066429419034,25.142999999999482,7.326639640238749,5.464446557181872,2,4215,1431,-62.38000000000102,flat_smooth,flat,smooth
46d24a09,4449,1,19.522473440952325,16.85918090912693,-16.737106453423145,38.869908285276324,21.034427197140683,18.606754326815317,-18.606754326815317,39.8700000000008,1.5119537561883583,1.7475734176883861,1,4449,1674,207.39999999999964,upward_curved,upward,curved
46d41ff6,7901,1,6.538676021996763,5.292627803944433,0.531270941147574,11.653709413038086,7.152719312990992,5.903402100999892,-3.1086571320086,14.969999999999345,0.6140432909942284,0.6107742970554586,0,7901,1325,-266.2000000000007,downward_curved,downward,curved
46dfcfca,3606,1,16.441789839415275,15.615443936934124,-15.607832145119966,24.553915370465802,23.306915931867923,22.336797004992317,-22.336797004992317,34.302500000001146,6.865126092452648,6.7213530680581925,3,3606,1315,-83.19999999999891,flat_curved,flat,curved
47222616,4406,1,8.105296910198064,7.5111221733837485,1.123250401089358,12.758971084804216,12.72802806095558,10.446236949614175,-8.93916023604177,21.75,4.622731150757517,2.935114776230426,4,4406,1429,105.20000000000073,flat_curved,flat,curved
47ee27ab,6397,1,6.9811692603282705,5.772197621064752,-4.3579844428239936,13.658903322020342,7.811133847911845,6.483672033765797,1.3104783492256846,15.789999999999054,0.8299645875835742,0.7114744127010448,3,6397,1877,222.47999999999956,upward_smooth,upward,smooth
481de5fc,5952,1,11.018079159380648,9.813395216306501,9.30035846421557,15.94289093442967,13.661013098019078,12.261061827957043,12.092641129032321,19.210000000000946,2.6429339386384303,2.4476666116505417,0,5952,1742,203.38999999999942,upward_curved,upward,curved
48c1f673,2917,1,18.286187131352733,16.092172162065534,-15.719851757972823,26.77445730170257,18.480143096264484,16.27227973945825,-16.040349674322798,26.94000000000051,0.19395596491175127,0.18010757739271455,0,2917,1749,170.26000000000022,upward_smooth,upward,smooth
4936af16,3991,1,4.669301722048754,3.9338298072614926,-0.48687649654311416,8.913349554656634,5.12683088404085,3.982357805061394,1.907870207967791,12.069999999999709,0.45752916199209626,0.04852799779990136,4,3991,1568,-134.71999999999935,downward_smooth,downward,smooth
493b5b31,4671,1,19.600964937717073,17.2699286415212,-14.63803338440738,30.155467806384877,20.806259253075513,18.939546135731156,-13.483857846285717,31.375,1.2052943153584401,1.6696174942099553,2,4671,2213,-123.41000000000167,flat_smooth,flat,smooth
