bias60,bias70,bias80,well_id,c_oracle,known_n,bias_mean
900.6640032787245,223.71192982329617,45.846546054344664,1aaf1da0,10.0,1517,390.07415971878845
249.88828842636852,64.1607425246984,-13.30872469078305,1b08ed48,-13.0,1557,100.24676875342796
519.0846089146896,38.65877374147771,47.926003768197894,1b1c5372,-20.5,1531,201.88979547478843
1065.0788868805441,221.7227534688412,-8.959890514484789,1b1eba53,30.0,2055,425.9472499449668
544.0977756996697,269.4241659242532,223.75932120907868,1b6ba517,-3.0,2014,345.7604209443339
1310.3493471688553,1.0835683690501487,-34.85919955820322,1b82b665,-5.5,1558,425.5245719932341
351.11099703925674,98.22968881159743,1.69991070613485,1bcb2fcf,-1.0,1678,150.34686551899634
528.2963660956539,-44.0423318008749,-29.201099075681874,1beca81d,0.5,1614,151.68431173969904
-1470.8319078910752,48.58118590199071,-7.726104925961863,1d3fbf02,1.0,1558,-476.65894230501544
1536.3088078214112,-79.92376424244486,65.25963471948495,1d78281a,5.5,1861,507.2148927661504
-57.0955281912572,-2.6077672081216043,30.104328294764187,1e30dedf,-3.5,1403,-9.866322368204871
818.5813796817947,-31.61494178950362,-26.66838496431495,1e5e3573,3.0,1646,253.4326843093254
839.7215589729537,-21.023893017596798,-36.99221592719485,1f9afacb,-2.0,1726,260.5684833427207
39.36514059557211,-12.966548749268375,15.574385967511791,1fdbba44,9.5,1422,13.990992604605173
981.1220182738538,-0.0023762376238178466,-17.200402743094124,1fee2b62,2.5,1682,321.3064130977119
995.7353540819462,-3.0913880984146576,0.9500571404154731,20096916,-1.0,1747,331.1980077079823
-64.53056123997236,72.79116216684288,28.80942042189283,200d233d,11.0,1970,12.356673782921119
1067.3830727328009,479.4406420096878,-53.78643306753348,201661b5,5.5,2181,497.67909389165175
569.4387331812235,-9.128952596222687,45.69466580623511,203721ab,0.0,1505,202.00148213041197
517.7421828708484,8.861613243696372,25.249376691716733,20402d71,-16.5,1558,183.9510576020872
488.68145845281686,19.61174094575833,35.73769757958249,2043abc5,2.0,1555,181.34363232605256
