well_id,n,anchor_rmse,viterbi_rmse
1619e2ca,4443,7.812315673810556,11.825779747828282
16e4a047,4131,10.715407020528387,3.689539919452754
173ed841,4883,17.58051747694951,9.047725714801443
1770d7c6,7240,12.332849608315879,6.497050534601567
177622d7,3154,9.800349606500166,7.253682346069051
18d24f7b,4558,7.530076271970659,7.212113758238978
19137a89,6267,18.119920942456794,9.550984096290017
1944513c,4722,5.738736995920461,7.43379859294996
197f8a5a,6310,24.61555435098563,14.18372131133829
19871e7f,5293,5.353880109906093,12.925287515516649
198a5607,6251,9.944851115115334,10.255658494071414
19fb4f7b,5620,11.089880426882702,7.4490520677589505
1a518997,4606,10.76070073803029,2.061073888859604
1a68190b,4474,16.431826147748733,29.87770928716821
1a730ac2,4605,16.350400725581075,6.366263141307032
1aaf1da0,4804,9.288199403984146,5.291240892567987
1b08ed48,5618,11.838490879530399,2.2453150822189865
1b1c5372,4261,17.833374900392585,18.03553272881119
1b1eba53,4655,70.63937461968057,59.60480560647492
1b6ba517,6597,7.818279827064867,7.6442335448226375
1b82b665,3806,6.106594455886377,14.115086862692106
1bcb2fcf,4524,6.2062031463179,11.679345349925375
1beca81d,5036,8.154769966888065,15.442093374793666
1d3fbf02,2694,5.906372283901897,10.18993526465372
1d78281a,4949,11.881246003992382,13.005652350777916
1e30dedf,4071,12.137059232129838,31.611261553646173
1e5e3573,5480,11.921759172625736,3.802367992976984
1f9afacb,5328,2.518404175433652,3.1224524721266
1fdbba44,4911,5.835321753197851,4.539339181381517
1fee2b62,4641,8.271183690259376,10.781839076322337
20096916,5133,10.457150039432173,7.913997210071774
200d233d,3926,12.776233899276743,9.381127358128948
201661b5,5955,12.376074593108253,12.347455973504724
203721ab,5730,10.037088673521446,12.498879977745542
20402d71,6372,11.661871660575386,10.660590938242239
2043abc5,6958,18.043675019417094,7.18283781345047
204cc64b,4805,6.09488008126444,4.398537766680236
206b6193,6535,36.50899923584182,23.39800294154629
2075c696,3188,21.898881254260402,16.553380143209896
22c5f93f,5172,7.091232323797548,10.404364662085806
230eaaa3,4690,25.322864048616943,19.299022648342536
2364716c,4316,19.668009235301668,12.188129059358284
23b9beb0,7340,5.499363741994015,16.590909297609976
24d8997e,3442,5.6395027824068205,4.836323895321188
25050f63,6124,37.996607342363916,26.931501900402996
25939962,4319,11.099661933822553,23.06576650903292
25fd32b3,2885,3.1781649872704114,1.3254650012998666
261785ee,3646,23.57894263400833,26.837340581853116
264feceb,5665,10.863394363873287,3.4157698427603815
26623a50,5735,21.675376849132046,26.198783820446
26d3a96a,4721,9.063491001698889,22.771234642285467
272abef3,4135,10.023016592838678,8.362750697355576
27300fd5,5467,17.389589831741016,13.05190704602039
276b012a,4837,27.08665184488836,17.407079320236807
27c3155b,4958,18.11085336032788,14.720529393991864
27ebb9b9,5766,9.988233062217338,14.887627963239801
283269ac,2626,1.1159494538507433,10.755155889981737
28473855,4290,4.546502439117813,7.630536374417195
28f4eda9,5266,12.159025419229918,11.545801071771525
29b24409,5587,13.756821410921399,4.770512426701195
29de15c8,3431,4.5857601721794286,12.047386433479522
2ab29395,1852,2.45945596628769,12.725999869487076
2ac7cb6b,4990,19.596293256603055,18.437151001553826
2acc78d4,4266,13.626234402591441,16.155913675641695
2b034622,5203,6.805621396093291,6.03285671615018
2b06ad65,4256,2.7463768040476424,2.508818286849294
2b547943,3480,12.241457142013665,20.803028003374198
2be5c96a,4210,3.6618588662445717,9.64834047980572
2bff06cf,7624,28.427941006681795,30.872354437170547
2c0c4a4e,4790,8.04594018660484,7.152353149426495
2cee0cba,5500,10.665140786694133,10.052098776781774
2d0c268a,4550,14.874791132341558,16.976249091269008
2d179ded,7008,7.749754286132607,8.14351832418538
2d196986,6474,11.991317360702503,9.778329914299984
2d2d0c6b,5045,3.045945300727323,4.361598212728827
2d35f86d,4896,11.216196779664774,9.773167461283938
2d9f6cb9,7338,9.908706063856238,4.601684505285115
2ddad940,5331,7.645816438023014,7.518906220967833
