well_id,fold,n_rows,rmse_e8,mae_e8,rmse_e9b,mae_e9b,d_rmse,d_mae,tw_known_gr_corr,n_known_gr,tw_group_size,shares_typewell
c07fd0cd,0,4191,4.966512088284788,3.9081773026886433,4.987563441861014,3.9501746963550364,0.021051353576226006,0.0419973936663931,0.8832191433873479,1259,1,False
c1708b88,2,6315,26.91377522900732,23.31846810257396,28.5488676956146,24.4661167096299,1.6350924666072792,1.1476486070559417,0.8296244069626502,733,1,False
c1d046f4,3,5513,5.256799375269772,4.42815916074062,5.304483579159531,4.630718187238261,0.04768420388975958,0.20255902649764135,0.8467235919267183,1391,1,False
c2717d4f,3,4721,10.191509345847765,8.893106118195195,11.721597719470994,10.36652109263077,1.5300883736232294,1.473414974435574,0.8886888754447337,1666,1,False
c2c4db09,1,6039,6.879960652857254,5.754860588933019,5.733614884165475,4.595010999098091,-1.1463457686917788,-1.159849589834928,0.8638677064018307,1445,1,False
c2c6fc71,2,7119,9.395146533892081,7.714408339044422,7.425302296085598,5.968429397672739,-1.969844237806483,-1.7459789413716829,0.9572322593008026,1200,1,False
c36625df,3,4742,6.50319940656693,5.65547586745387,9.929342150449548,8.950895251129468,3.426142743882618,3.2954193836755987,0.7935837111292361,522,1,False
c3957531,3,5316,10.849284873531595,8.404393155565826,10.989419928552591,8.41541625268045,0.14013505502099655,0.011023097114623681,0.7659763988534227,1861,1,False
c42fe306,3,5095,8.839029574570086,5.746376866093828,8.48545908975383,5.823830596670125,-0.35357048481625597,0.07745373057629656,0.7487278965243986,1064,1,False
c43812e2,4,5527,8.495443889488776,7.294411100574669,6.330401769089044,5.362301761445823,-2.1650421203997317,-1.9321093391288455,0.7592388772389632,713,1,False
c472c0b5,1,3054,5.675023030989527,5.078138481984927,5.997561963805474,5.491805565784399,0.3225389328159469,0.4136670837994725,0.9482272436115784,1521,1,False
c47e0767,0,4356,16.209737039527724,14.467681073755875,12.278018865538515,10.8224510847728,-3.931718173989209,-3.6452299889830755,0.8598359165845937,1669,1,False
c50b42f6,1,6014,9.254831004350052,6.618528240654302,7.842510233790698,6.142850665573752,-1.4123207705593543,-0.4756775750805504,0.8053894707744088,1526,1,False
c593337f,3,5208,20.26475263762119,15.957723961817308,20.436756342253023,15.737900306582215,0.1720037046318339,-0.21982365523509273,0.7217979589343505,1291,1,False
c59b6c4a,3,5499,28.509988190756197,25.11388873623785,25.095319082803304,22.29890665180525,-3.414669107952893,-2.8149820844326,0.8341467382354976,1677,1,False
c66be2b8,2,4154,19.775639515410617,15.346340428193145,13.131404190819499,10.917984899294165,-6.6442353245911185,-4.4283555288989795,0.835171194099945,1649,1,False
c6797dd7,2,4664,2.974877221886058,2.6486225909886163,3.756561189153278,3.1540469228127908,0.7816839672672198,0.5054243318241745,0.9221751140964368,1184,1,False
c6b782a4,0,4877,7.670700253022177,5.920528870952651,7.77031107987181,6.015961853293901,0.0996108268496334,0.09543298234124986,0.912541265067714,1303,1,False
c6c96179,3,4004,2.2674697357444074,1.9618184499754112,2.811182521775247,2.316259359777121,0.5437127860308397,0.35444090980170984,0.8553136978643503,1436,1,False
c70c0e01,0,4312,7.0632852056834965,5.121513639111729,6.847258471757155,4.994600149512263,-0.2160267339263413,-0.1269134895994659,0.5555203681389064,623,1,False
c84c65be,0,8496,7.982054970585014,6.533347350611406,9.57397788358338,7.996262957612663,1.591922912998366,1.462915607001257,0.8564972828490415,1050,1,False
c8d9680c,0,6281,39.065137840721746,36.181499738304986,43.34996413003042,39.96271139303003,4.2848262893086755,3.781211654725041,0.7437882824085665,1131,1,False
c908edd0,2,5293,4.345351174230644,3.4793254054877183,6.949601727451203,5.716958454273238,2.6042505532205587,2.2376330487855194,0.8086955086805347,1393,2,True
c9578d27,2,4487,14.224112624302332,11.49955875166153,16.76801036724474,14.024751732135604,2.5438977429424092,2.525192980474074,0.754307478147838,1192,1,False
c96c018a,0,6236,13.636404257347492,12.354903858182016,13.087838371347566,11.863649749748543,-0.5485658859999258,-0.4912541084334734,0.8769204796486056,1338,1,False
c99f9fae,2,6361,5.8996965393853245,4.143463168015887,4.010789682325449,2.687143496016827,-1.888906857059875,-1.45631967199906,0.8326425233720954,1963,1,False
c9e6734f,3,4735,12.310889594083422,10.131061586095583,11.294036450959727,9.324023336967716,-1.0168531431236953,-0.8070382491278671,0.7259118103641117,1588,1,False
c9e980e8,0,4359,19.92500431441118,17.936844848399573,18.392009448735898,15.85335599544504,-1.5329948656752812,-2.083488852954533,0.808619300142636,1595,1,False
c9fedcf3,1,3517,5.6208067654538585,4.755903643320267,9.046275302664364,7.9574710607872445,3.425468537210506,3.2015674174669773,0.8526779680326373,1610,1,False
